TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,Year,Month,MonthName,Quarter,Day,DayOfWeek,DayName
TT00041,U00071,CR00025,2025-03-02,299.57,Credit Card,TC00042,2025,3,March,1,2,6,Sunday
TT00042,U00071,CR00048,2025-03-18,0.0,Bank Transfer,TC00042,2025,3,March,1,18,1,Tuesday
TT00043,U00071,CR00015,2025-10-16,285.05,Bank Transfer,TC00040,2025,10,October,4,16,3,Thursday
TT00044,U00083,CR00028,2025-12-08,0.78,PayPal,TC00042,2025,12,December,4,8,0,Monday
TT00045,U00083,CR00054,2025-09-09,0.0,Bank Transfer,TC00042,2025,9,September,3,9,1,Tuesday
TT00046,U00083,CR00044,2025-09-21,119.04,Credit Card,TC00040,2025,9,September,3,21,6,Sunday
TT00047,U00083,CR00040,2025-11-15,327.99,PayPal,TC00040,2025,11,November,4,15,5,Saturday
TT00048,U00085,CR00035,2025-11-11,0.0,Bank Transfer,TC00040,2025,11,November,4,11,1,Tuesday
TT00049,U00085,CR00053,2025-06-15,0.0,Credit Card,TC00040,2025,6,June,2,15,6,Sunday
TT00050,U00085,CR00002,2025-03-01,0.0,Credit Card,TC00042,2025,3,March,1,1,5,Saturday
TT00051,U00109,CR00002,2025-04-26,0.0,PayPal,TC00040,2025,4,April,2,26,5,Saturday
TT00052,U00109,CR00023,2025-02-11,0.0,Credit Card,TC00040,2025,2,February,1,11,1,Tuesday
TT00053,U00109,CR00054,2025-02-21,0.0,Credit Card,TC00040,2025,2,February,1,21,4,Friday
TT00054,U00112,CR00024,2025-10-21,117.68,PayPal,TC00042,2025,10,October,4,21,1,Tuesday
TT00055,U00112,CR00036,2025-04-07,0.0,PayPal,TC00040,2025,4,April,2,7,0,Monday
TT00056,U00112,CR00007,2025-02-22,0.0,PayPal,TC00040,2025,2,February,1,22,5,Saturday
TT00057,U00112,CR00016,2025-06-05,0.0,Bank Transfer,TC00042,2025,6,June,2,5,3,Thursday
TT00058,U00112,CR00023,2025-02-25,0.0,PayPal,TC00040,2025,2,February,1,25,1,Tuesday
TT00059,U00117,CR00008,2025-10-15,0.0,PayPal,TC00042,2025,10,October,4,15,2,Wednesday
TT00060,U00117,CR00027,2025-08-03,0.0,Credit Card,TC00042,2025,8,August,3,3,6,Sunday
TT00061,U00117,CR00001,2025-11-28,472.28,PayPal,TC00040,2025,11,November,4,28,4,Friday
TT00062,U00126,CR00060,2025-07-17,0.0,PayPal,TC00042,2025,7,July,3,17,3,Thursday
TT00063,U00126,CR00036,2025-10-01,0.0,Credit Card,TC00042,2025,10,October,4,1,2,Wednesday
TT00064,U00126,CR00050,2025-01-06,490.9,Bank Transfer,TC00042,2025,1,January,1,6,0,Monday
TT00065,U00126,CR00028,2025-04-16,0.78,Credit Card,TC00042,2025,4,April,2,16,2,Wednesday
TT00066,U00128,CR00027,2025-02-21,0.0,Credit Card,TC00042,2025,2,February,1,21,4,Friday
TT00067,U00128,CR00054,2025-12-10,0.0,PayPal,TC00042,2025,12,December,4,10,2,Wednesday
TT00068,U00128,CR00050,2025-01-03,490.9,Credit Card,TC00040,2025,1,January,1,3,4,Friday
TT00069,U00133,CR00052,2025-06-05,0.0,Credit Card,TC00042,2025,6,June,2,5,3,Thursday
TT00070,U00133,CR00010,2025-07-19,0.0,PayPal,TC00042,2025,7,July,3,19,5,Saturday
TT00071,U00133,CR00041,2025-10-10,53.86,Credit Card,TC00042,2025,10,October,4,10,4,Friday
TT00072,U00133,CR00055,2025-07-05,57.32,Credit Card,TC00040,2025,7,July,3,5,5,Saturday
TT00073,U00133,CR00004,2025-03-24,0.0,Credit Card,TC00040,2025,3,March,1,24,0,Monday
TT00074,U00134,CR00055,2025-02-11,57.32,PayPal,TC00040,2025,2,February,1,11,1,Tuesday
TT00075,U00134,CR00012,2025-12-29,487.92,PayPal,TC00040,2025,12,December,4,29,0,Monday
TT00076,U00134,CR00030,2025-08-17,0.0,Credit Card,TC00042,2025,8,August,3,17,6,Sunday
TT00077,U00134,CR00011,2025-10-17,326.02,Credit Card,TC00040,2025,10,October,4,17,4,Friday
TT00078,U00144,CR00032,2025-12-28,0.0,Bank Transfer,TC00040,2025,12,December,4,28,6,Sunday
TT00079,U00144,CR00020,2025-10-03,0.0,Credit Card,TC00042,2025,10,October,4,3,4,Friday
TT00080,U00144,CR00042,2025-07-13,0.0,Bank Transfer,TC00040,2025,7,July,3,13,6,Sunday
TT00081,U00144,CR00012,2025-03-18,487.92,Credit Card,TC00042,2025,3,March,1,18,1,Tuesday
TT00082,U00147,CR00007,2025-09-02,0.0,PayPal,TC00040,2025,9,September,3,2,1,Tuesday
TT00083,U00147,CR00021,2025-12-03,0.0,PayPal,TC00040,2025,12,December,4,3,2,Wednesday
TT00084,U00147,CR00044,2025-09-30,119.04,PayPal,TC00042,2025,9,September,3,30,1,Tuesday
TT00085,U00147,CR00001,2025-11-14,472.28,Credit Card,TC00042,2025,11,November,4,14,4,Friday
TT00086,U00149,CR00021,2025-03-11,0.0,Bank Transfer,TC00040,2025,3,March,1,11,1,Tuesday
TT00087,U00149,CR00032,2025-02-24,0.0,Bank Transfer,TC00040,2025,2,February,1,24,0,Monday
TT00088,U00149,CR00049,2025-07-06,415.51,PayPal,TC00042,2025,7,July,3,6,6,Sunday
TT00089,U00152,CR00033,2025-05-12,0.0,Credit Card,TC00040,2025,5,May,2,12,0,Monday
TT00090,U00152,CR00001,2025-11-05,472.28,Credit Card,TC00042,2025,11,November,4,5,2,Wednesday
TT00091,U00152,CR00008,2025-04-20,0.0,PayPal,TC00040,2025,4,April,2,20,6,Sunday
TT00092,U00161,CR00024,2025-06-27,117.68,PayPal,TC00040,2025,6,June,2,27,4,Friday
TT00093,U00161,CR00042,2025-03-11,0.0,Bank Transfer,TC00042,2025,3,March,1,11,1,Tuesday
TT00094,U00161,CR00008,2025-04-16,0.0,Credit Card,TC00042,2025,4,April,2,16,2,Wednesday
TT00095,U00161,CR00054,2025-10-07,0.0,Credit Card,TC00040,2025,10,October,4,7,1,Tuesday
TT00096,U00166,CR00002,2025-01-03,0.0,Bank Transfer,TC00040,2025,1,January,1,3,4,Friday
TT00097,U00166,CR00004,2025-07-11,0.0,Credit Card,TC00042,2025,7,July,3,11,4,Friday
TT00098,U00166,CR00020,2025-12-11,0.0,PayPal,TC00042,2025,12,December,4,11,3,Thursday
TT00099,U00166,CR00018,2025-10-30,0.0,Credit Card,TC00040,2025,10,October,4,30,3,Thursday
TT00100,U00169,CR00013,2025-04-20,0.0,PayPal,TC00042,2025,4,April,2,20,6,Sunday
TT00101,U00169,CR00044,2025-04-29,119.04,Credit Card,TC00040,2025,4,April,2,29,1,Tuesday
TT00102,U00169,CR00034,2025-11-24,394.26,PayPal,TC00040,2025,11,November,4,24,0,Monday
TT00103,U00169,CR00027,2025-02-15,0.0,Bank Transfer,TC00042,2025,2,February,1,15,5,Saturday
TT00104,U00173,CR00016,2025-04-03,0.0,Credit Card,TC00040,2025,4,April,2,3,3,Thursday
TT00105,U00173,CR00029,2025-07-26,0.0,PayPal,TC00042,2025,7,July,3,26,5,Saturday
TT00106,U00173,CR00048,2025-09-13,0.0,Bank Transfer,TC00042,2025,9,September,3,13,5,Saturday
TT00107,U00177,CR00021,2025-11-24,0.0,Bank Transfer,TC00042,2025,11,November,4,24,0,Monday
TT00108,U00177,CR00006,2025-04-09,276.37,PayPal,TC00040,2025,4,April,2,9,2,Wednesday
TT00109,U00177,CR00060,2025-09-30,0.0,PayPal,TC00042,2025,9,September,3,30,1,Tuesday
TT00110,U00177,CR00002,2025-03-19,0.0,Bank Transfer,TC00042,2025,3,March,1,19,2,Wednesday
TT00111,U00177,CR00055,2025-04-14,57.32,PayPal,TC00042,2025,4,April,2,14,0,Monday
TT00112,U00178,CR00021,2025-06-24,0.0,Credit Card,TC00040,2025,6,June,2,24,1,Tuesday
TT00113,U00178,CR00048,2025-08-14,0.0,PayPal,TC00042,2025,8,August,3,14,3,Thursday
TT00114,U00178,CR00023,2025-02-08,0.0,Credit Card,TC00042,2025,2,February,1,8,5,Saturday
TT00115,U00178,CR00014,2025-05-16,0.0,Credit Card,TC00042,2025,5,May,2,16,4,Friday
TT00116,U00191,CR00043,2025-08-28,0.0,PayPal,TC00042,2025,8,August,3,28,3,Thursday
TT00117,U00191,CR00058,2025-06-04,0.0,PayPal,TC00040,2025,6,June,2,4,2,Wednesday
TT00118,U00191,CR00056,2025-06-08,212.39,Credit Card,TC00040,2025,6,June,2,8,6,Sunday
TT00119,U00192,CR00054,2025-05-30,0.0,PayPal,TC00042,2025,5,May,2,30,4,Friday
TT00120,U00192,CR00014,2025-11-14,0.0,Credit Card,TC00042,2025,11,November,4,14,4,Friday
TT00121,U00192,CR00060,2025-09-06,0.0,Credit Card,TC00040,2025,9,September,3,6,5,Saturday
TT00122,U00192,CR00043,2025-04-21,0.0,Bank Transfer,TC00042,2025,4,April,2,21,0,Monday
TT00123,U00192,CR00004,2025-11-03,0.0,PayPal,TC00040,2025,11,November,4,3,0,Monday
TT00124,U00198,CR00041,2025-02-16,53.86,Credit Card,TC00040,2025,2,February,1,16,6,Sunday
TT00125,U00198,CR00016,2025-08-27,0.0,Bank Transfer,TC00040,2025,8,August,3,27,2,Wednesday
TT00126,U00198,CR00032,2025-04-21,0.0,Credit Card,TC00040,2025,4,April,2,21,0,Monday
TT00127,U00198,CR00020,2025-06-20,0.0,PayPal,TC00042,2025,6,June,2,20,4,Friday
TT00128,U00208,CR00036,2025-03-24,0.0,PayPal,TC00040,2025,3,March,1,24,0,Monday
TT00129,U00208,CR00013,2025-06-18,0.0,PayPal,TC00040,2025,6,June,2,18,2,Wednesday
TT00130,U00208,CR00052,2025-08-22,0.0,PayPal,TC00042,2025,8,August,3,22,4,Friday
TT00131,U00208,CR00047,2025-10-29,89.59,Credit Card,TC00040,2025,10,October,4,29,2,Wednesday
TT00132,U00208,CR00025,2025-03-16,299.57,Credit Card,TC00040,2025,3,March,1,16,6,Sunday
TT00133,U00216,CR00059,2025-03-16,0.0,Bank Transfer,TC00042,2025,3,March,1,16,6,Sunday
TT00134,U00216,CR00054,2025-11-29,0.0,Bank Transfer,TC00042,2025,11,November,4,29,5,Saturday
TT00135,U00216,CR00036,2025-05-08,0.0,Bank Transfer,TC00040,2025,5,May,2,8,3,Thursday
TT00136,U00216,CR00024,2025-05-01,117.68,PayPal,TC00040,2025,5,May,2,1,3,Thursday
TT00137,U00216,CR00017,2025-12-30,0.0,Credit Card,TC00040,2025,12,December,4,30,1,Tuesday
TT00138,U00220,CR00010,2025-04-19,0.0,PayPal,TC00042,2025,4,April,2,19,5,Saturday
TT00139,U00220,CR00014,2025-04-25,0.0,Bank Transfer,TC00040,2025,4,April,2,25,4,Friday
TT00140,U00220,CR00017,2025-04-16,0.0,PayPal,TC00042,2025,4,April,2,16,2,Wednesday
TT00141,U00220,CR00003,2025-04-08,0.0,PayPal,TC00040,2025,4,April,2,8,1,Tuesday
TT00142,U00238,CR00012,2025-03-25,487.92,Bank Transfer,TC00040,2025,3,March,1,25,1,Tuesday
TT00143,U00238,CR00041,2025-11-20,53.86,Credit Card,TC00040,2025,11,November,4,20,3,Thursday
TT00144,U00238,CR00001,2025-08-24,472.28,PayPal,TC00040,2025,8,August,3,24,6,Sunday
TT00145,U00238,CR00052,2025-10-27,0.0,PayPal,TC00040,2025,10,October,4,27,0,Monday
TT00146,U00238,CR00002,2025-10-06,0.0,PayPal,TC00040,2025,10,October,4,6,0,Monday
TT00147,U00251,CR00043,2025-04-16,0.0,Bank Transfer,TC00040,2025,4,April,2,16,2,Wednesday
TT00148,U00251,CR00059,2025-04-11,0.0,Credit Card,TC00042,2025,4,April,2,11,4,Friday
TT00149,U00251,CR00040,2025-01-04,327.99,PayPal,TC00040,2025,1,January,1,4,5,Saturday
TT00150,U00260,CR00060,2025-06-08,0.0,Bank Transfer,TC00042,2025,6,June,2,8,6,Sunday
TT00151,U00260,CR00006,2025-01-15,276.37,Bank Transfer,TC00042,2025,1,January,1,15,2,Wednesday
TT00152,U00260,CR00039,2025-09-15,346.71,Bank Transfer,TC00040,2025,9,September,3,15,0,Monday
TT00153,U00260,CR00028,2025-02-08,0.78,Bank Transfer,TC00042,2025,2,February,1,8,5,Saturday
TT00154,U00260,CR00026,2025-11-23,0.0,Credit Card,TC00042,2025,11,November,4,23,6,Sunday
TT00155,U00265,CR00004,2025-12-20,0.0,Credit Card,TC00040,2025,12,December,4,20,5,Saturday
TT00156,U00265,CR00010,2025-01-14,0.0,PayPal,TC00040,2025,1,January,1,14,1,Tuesday
TT00157,U00265,CR00059,2025-03-22,0.0,Bank Transfer,TC00040,2025,3,March,1,22,5,Saturday
TT00158,U00265,CR00042,2025-04-24,0.0,Bank Transfer,TC00042,2025,4,April,2,24,3,Thursday
TT00159,U00265,CR00060,2025-02-25,0.0,PayPal,TC00042,2025,2,February,1,25,1,Tuesday
TT00160,U00272,CR00051,2025-06-10,37.89,Credit Card,TC00040,2025,6,June,2,10,1,Tuesday
TT00161,U00272,CR00022,2025-06-20,0.0,Credit Card,TC00042,2025,6,June,2,20,4,Friday
TT00162,U00272,CR00044,2025-08-24,119.04,Credit Card,TC00042,2025,8,August,3,24,6,Sunday
TT00163,U00282,CR00007,2025-12-20,0.0,PayPal,TC00042,2025,12,December,4,20,5,Saturday
TT00164,U00282,CR00020,2025-06-11,0.0,PayPal,TC00040,2025,6,June,2,11,2,Wednesday
TT00165,U00282,CR00029,2025-03-07,0.0,Bank Transfer,TC00042,2025,3,March,1,7,4,Friday
TT00166,U00282,CR00014,2025-11-18,0.0,Bank Transfer,TC00042,2025,11,November,4,18,1,Tuesday
TT00167,U00282,CR00046,2025-04-11,248.1,PayPal,TC00042,2025,4,April,2,11,4,Friday
TT00168,U00292,CR00005,2025-10-04,0.0,Bank Transfer,TC00040,2025,10,October,4,4,5,Saturday
TT00169,U00292,CR00038,2025-04-04,342.61,Bank Transfer,TC00040,2025,4,April,2,4,4,Friday
TT00170,U00293,CR00028,2025-11-13,0.78,Bank Transfer,TC00042,2025,11,November,4,13,3,Thursday
TT00171,U00293,CR00016,2025-12-10,0.0,Bank Transfer,TC00042,2025,12,December,4,10,2,Wednesday
TT00172,U00293,CR00025,2025-01-22,299.57,Credit Card,TC00040,2025,1,January,1,22,2,Wednesday
TT00173,U00293,CR00049,2025-01-15,415.51,Credit Card,TC00042,2025,1,January,1,15,2,Wednesday
TT00174,U00298,CR00059,2025-08-22,0.0,PayPal,TC00040,2025,8,August,3,22,4,Friday
TT00175,U00298,CR00026,2025-09-12,0.0,PayPal,TC00042,2025,9,September,3,12,4,Friday
TT00176,U00298,CR00039,2025-07-16,346.71,Credit Card,TC00040,2025,7,July,3,16,2,Wednesday
TT00177,U00298,CR00040,2025-01-06,327.99,PayPal,TC00042,2025,1,January,1,6,0,Monday
TT00178,U00301,CR00003,2025-06-10,0.0,Bank Transfer,TC00040,2025,6,June,2,10,1,Tuesday
TT00179,U00301,CR00037,2025-07-24,0.0,Bank Transfer,TC00040,2025,7,July,3,24,3,Thursday
TT00180,U00301,CR00049,2025-04-24,415.51,PayPal,TC00040,2025,4,April,2,24,3,Thursday
TT00181,U00301,CR00030,2025-01-12,0.0,Bank Transfer,TC00042,2025,1,January,1,12,6,Sunday
TT00182,U00303,CR00014,2025-04-06,0.0,PayPal,TC00040,2025,4,April,2,6,6,Sunday
TT00183,U00303,CR00053,2025-04-08,0.0,PayPal,TC00042,2025,4,April,2,8,1,Tuesday
TT00184,U00303,CR00039,2025-08-15,346.71,PayPal,TC00042,2025,8,August,3,15,4,Friday
TT00185,U00310,CR00010,2025-04-23,0.0,Credit Card,TC00042,2025,4,April,2,23,2,Wednesday
TT00186,U00310,CR00023,2025-04-04,0.0,PayPal,TC00040,2025,4,April,2,4,4,Friday
TT00187,U00310,CR00037,2025-09-07,0.0,PayPal,TC00040,2025,9,September,3,7,6,Sunday
TT00188,U00315,CR00051,2025-10-16,37.89,Bank Transfer,TC00040,2025,10,October,4,16,3,Thursday
TT00189,U00315,CR00045,2025-12-26,0.0,PayPal,TC00040,2025,12,December,4,26,4,Friday
TT00190,U00315,CR00060,2025-08-30,0.0,Credit Card,TC00040,2025,8,August,3,30,5,Saturday
TT00191,U00321,CR00043,2025-05-06,0.0,PayPal,TC00040,2025,5,May,2,6,1,Tuesday
TT00192,U00321,CR00047,2025-01-04,89.59,PayPal,TC00040,2025,1,January,1,4,5,Saturday
TT00193,U00321,CR00049,2025-10-19,415.51,Bank Transfer,TC00042,2025,10,October,4,19,6,Sunday
TT00194,U00322,CR00041,2025-06-26,53.86,Credit Card,TC00040,2025,6,June,2,26,3,Thursday
TT00195,U00322,CR00048,2025-06-26,0.0,Bank Transfer,TC00040,2025,6,June,2,26,3,Thursday
TT00196,U00322,CR00022,2025-05-11,0.0,Credit Card,TC00040,2025,5,May,2,11,6,Sunday
TT00197,U00323,CR00005,2025-03-02,0.0,Credit Card,TC00042,2025,3,March,1,2,6,Sunday
TT00198,U00323,CR00036,2025-03-11,0.0,Credit Card,TC00040,2025,3,March,1,11,1,Tuesday
TT00199,U00323,CR00016,2025-02-01,0.0,PayPal,TC00040,2025,2,February,1,1,5,Saturday
TT00200,U00323,CR00033,2025-02-09,0.0,Bank Transfer,TC00040,2025,2,February,1,9,6,Sunday
TT00201,U00328,CR00042,2025-01-18,0.0,Credit Card,TC00042,2025,1,January,1,18,5,Saturday
TT00202,U00328,CR00003,2025-06-06,0.0,Credit Card,TC00042,2025,6,June,2,6,4,Friday
TT00203,U00328,CR00041,2025-07-01,53.86,Bank Transfer,TC00040,2025,7,July,3,1,1,Tuesday
TT00204,U00328,CR00004,2025-09-21,0.0,PayPal,TC00040,2025,9,September,3,21,6,Sunday
TT00205,U00328,CR00036,2025-04-02,0.0,Bank Transfer,TC00042,2025,4,April,2,2,2,Wednesday
TT00206,U00329,CR00060,2025-01-26,0.0,Bank Transfer,TC00042,2025,1,January,1,26,6,Sunday
TT00207,U00329,CR00021,2025-09-29,0.0,Credit Card,TC00042,2025,9,September,3,29,0,Monday
TT00208,U00329,CR00049,2025-03-25,415.51,PayPal,TC00042,2025,3,March,1,25,1,Tuesday
TT00209,U00330,CR00051,2025-12-12,37.89,Bank Transfer,TC00042,2025,12,December,4,12,4,Friday
TT00210,U00330,CR00040,2025-02-11,327.99,PayPal,TC00040,2025,2,February,1,11,1,Tuesday
TT00211,U00330,CR00054,2025-12-20,0.0,Bank Transfer,TC00040,2025,12,December,4,20,5,Saturday
TT00212,U00334,CR00024,2025-01-21,117.68,PayPal,TC00042,2025,1,January,1,21,1,Tuesday
TT00213,U00334,CR00051,2025-03-04,37.89,PayPal,TC00040,2025,3,March,1,4,1,Tuesday
TT00214,U00334,CR00046,2025-02-18,248.1,Bank Transfer,TC00040,2025,2,February,1,18,1,Tuesday
TT00215,U00334,CR00042,2025-10-06,0.0,Bank Transfer,TC00040,2025,10,October,4,6,0,Monday
TT00216,U00338,CR00023,2025-08-25,0.0,Bank Transfer,TC00040,2025,8,August,3,25,0,Monday
TT00217,U00338,CR00009,2025-11-28,0.0,PayPal,TC00040,2025,11,November,4,28,4,Friday
TT00218,U00338,CR00002,2025-04-11,0.0,PayPal,TC00040,2025,4,April,2,11,4,Friday
TT00219,U00338,CR00039,2025-03-15,346.71,PayPal,TC00040,2025,3,March,1,15,5,Saturday
TT00220,U00338,CR00017,2025-04-10,0.0,PayPal,TC00040,2025,4,April,2,10,3,Thursday
TT00221,U00339,CR00044,2025-08-19,119.04,Bank Transfer,TC00040,2025,8,August,3,19,1,Tuesday
TT00222,U00339,CR00001,2025-05-28,472.28,Credit Card,TC00042,2025,5,May,2,28,2,Wednesday
TT00223,U00339,CR00039,2025-08-10,346.71,Bank Transfer,TC00042,2025,8,August,3,10,6,Sunday
TT00224,U00339,CR00040,2025-08-23,327.99,Bank Transfer,TC00040,2025,8,August,3,23,5,Saturday
TT00225,U00339,CR00060,2025-08-01,0.0,Credit Card,TC00042,2025,8,August,3,1,4,Friday
TT00226,U00340,CR00033,2025-02-03,0.0,Bank Transfer,TC00040,2025,2,February,1,3,0,Monday
TT00227,U00340,CR00048,2025-05-24,0.0,Credit Card,TC00042,2025,5,May,2,24,5,Saturday
TT00228,U00340,CR00034,2025-11-09,394.26,PayPal,TC00040,2025,11,November,4,9,6,Sunday
TT00229,U00340,CR00028,2025-01-23,0.78,Bank Transfer,TC00042,2025,1,January,1,23,3,Thursday
TT00230,U00345,CR00001,2025-05-17,472.28,Bank Transfer,TC00042,2025,5,May,2,17,5,Saturday
TT00231,U00345,CR00017,2025-01-02,0.0,Credit Card,TC00042,2025,1,January,1,2,3,Thursday
TT00232,U00345,CR00007,2025-08-10,0.0,PayPal,TC00042,2025,8,August,3,10,6,Sunday
TT00233,U00345,CR00058,2025-08-05,0.0,Bank Transfer,TC00042,2025,8,August,3,5,1,Tuesday
TT00234,U00345,CR00003,2025-09-12,0.0,Credit Card,TC00040,2025,9,September,3,12,4,Friday
TT00235,U00351,CR00024,2025-08-09,117.68,Bank Transfer,TC00040,2025,8,August,3,9,5,Saturday
TT00236,U00351,CR00008,2025-11-15,0.0,PayPal,TC00042,2025,11,November,4,15,5,Saturday
TT00237,U00351,CR00040,2025-06-24,327.99,Bank Transfer,TC00042,2025,6,June,2,24,1,Tuesday
TT00238,U00351,CR00033,2025-03-20,0.0,Bank Transfer,TC00040,2025,3,March,1,20,3,Thursday
TT00239,U00352,CR00032,2025-09-12,0.0,PayPal,TC00040,2025,9,September,3,12,4,Friday
TT00240,U00352,CR00024,2025-08-06,117.68,Credit Card,TC00040,2025,8,August,3,6,2,Wednesday
TT00241,U00352,CR00058,2025-11-16,0.0,Bank Transfer,TC00042,2025,11,November,4,16,6,Sunday
TT00242,U00352,CR00021,2025-01-23,0.0,Bank Transfer,TC00042,2025,1,January,1,23,3,Thursday
TT00243,U00353,CR00034,2025-11-08,394.26,Credit Card,TC00040,2025,11,November,4,8,5,Saturday
TT00244,U00353,CR00058,2025-10-11,0.0,Credit Card,TC00042,2025,10,October,4,11,5,Saturday
TT00245,U00353,CR00060,2025-10-15,0.0,Credit Card,TC00040,2025,10,October,4,15,2,Wednesday
TT00246,U00353,CR00003,2025-05-09,0.0,Bank Transfer,TC00040,2025,5,May,2,9,4,Friday
TT00247,U00356,CR00028,2025-02-11,0.78,Credit Card,TC00042,2025,2,February,1,11,1,Tuesday
TT00248,U00356,CR00017,2025-02-01,0.0,PayPal,TC00040,2025,2,February,1,1,5,Saturday
TT00249,U00356,CR00047,2025-03-29,89.59,Credit Card,TC00040,2025,3,March,1,29,5,Saturday
TT00250,U00356,CR00032,2025-06-30,0.0,PayPal,TC00040,2025,6,June,2,30,0,Monday
TT00251,U00356,CR00004,2025-04-28,0.0,Credit Card,TC00042,2025,4,April,2,28,0,Monday
TT00252,U00357,CR00048,2025-03-05,0.0,Credit Card,TC00042,2025,3,March,1,5,2,Wednesday
TT00253,U00357,CR00058,2025-04-16,0.0,Credit Card,TC00040,2025,4,April,2,16,2,Wednesday
TT00254,U00357,CR00023,2025-01-11,0.0,Credit Card,TC00042,2025,1,January,1,11,5,Saturday
TT00255,U00357,CR00034,2025-11-25,394.26,PayPal,TC00040,2025,11,November,4,25,1,Tuesday
