CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,EnrollmentCount,TotalRevenue,AvgTransactionAmount,TransactionCount,TeacherCount,AvgTeacherExperience,AvgTeacherRating,ExpertiseMatchRate,RevenuePerEnrollment,ExpectedRevenue,RevenueDifference
CR00043,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,182,0.0,0.0,182,8,16.36813186813187,4.235659340659341,0.37362637362637363,0.0,0.0,0.0
CR00044,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,161,19165.440000000002,119.04000000000002,161,7,16.96894409937888,4.379751552795031,0.33540372670807456,119.04000000000002,19165.440000000002,0.0
CR00045,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,172,0.0,0.0,172,8,16.424418604651162,4.2875,0.3546511627906977,0.0,0.0,0.0
CR00046,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,140,34734.0,248.1,140,8,16.514285714285716,4.051,0.34285714285714286,248.1,34734.0,0.0
CR00047,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,166,14871.94,89.59,166,8,15.265060240963855,3.9598795180722894,0.40963855421686746,89.59,14871.94,0.0
CR00048,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,186,0.0,0.0,186,8,15.844086021505376,4.057526881720429,0.3655913978494624,0.0,0.0,0.0
CR00049,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,163,67728.13,415.51000000000005,163,8,15.39877300613497,4.038711656441717,0.39263803680981596,415.51000000000005,67728.13,0.0
CR00050,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,174,85416.59999999999,490.9,174,8,15.21264367816092,3.9402873563218392,0.41379310344827586,490.9,85416.59999999999,0.0
CR00051,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,171,6479.1900000000005,37.89,171,20,15.690058479532164,4.0678947368421055,0.29239766081871343,37.89,6479.1900000000005,0.0
CR00052,JavaScript Mastery,Web Development,Free,Beginner,0.0,40.76,2.2,154,0.0,0.0,154,15,15.2987012987013,4.05077922077922,0.35064935064935066,0.0,0.0,0.0
CR00053,React for Beginners,Web Development,Free,Advanced,0.0,40.07,2.67,163,0.0,0.0,163,17,15.276073619631902,3.9677914110429446,0.34355828220858897,0.0,0.0,0.0
CR00054,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,178,0.0,0.0,178,21,15.50561797752809,4.133089887640449,0.2808988764044944,0.0,0.0,0.0
CR00055,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,178,10202.960000000001,57.32000000000001,178,18,16.03370786516854,4.106179775280899,0.2696629213483146,57.32000000000001,10202.960000000001,0.0
CR00056,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,148,31433.719999999998,212.39,148,13,15.783783783783784,4.199391891891892,0.39864864864864863,212.39,31433.719999999998,0.0
CR00057,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,140,24827.600000000002,177.34,140,13,15.321428571428571,4.0996428571428565,0.4142857142857143,177.34,24827.600000000002,0.0
CR00058,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,194,0.0,0.0,194,13,16.242268041237114,4.192474226804124,0.3711340206185567,0.0,0.0,0.0
CR00059,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,161,0.0,0.0,161,12,14.73913043478261,3.9988198757763973,0.453416149068323,0.0,0.0,0.0
CR00060,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,165,0.0,0.0,165,13,15.915151515151516,4.096,0.37575757575757573,0.0,0.0,0.0
