CourseCategory,Year,Month,YearMonth,CategoryRevenueTarget,PreviousMonthCategoryRevenue,Previous3MonthCategoryRevenue,Previous6MonthCategoryRevenue,CategoryRevenueGrowthRate,HasPreviousCategoryRevenue,CategoryEnrollment
Business,2025,5,2025-05,10504.439999999999,17095.92,45991.0,64019.329999999994,-0.38555865961001223,1,55
Business,2025,6,2025-06,15833.05,10504.439999999999,43916.409999999996,74523.76999999999,0.5072721630091658,1,72
Business,2025,7,2025-07,18356.57,15833.05,43433.409999999996,90356.81999999999,0.15938306264427893,1,71
Business,2025,8,2025-08,10173.74,18356.57,44694.06,90685.06,-0.44577118710085817,1,53
Business,2025,9,2025-09,16361.94,10173.74,44363.35999999999,88279.76999999999,0.6082522258284565,1,72
Business,2025,10,2025-10,18680.37,16361.94,44892.25,88325.66,0.14169652253950316,1,75
Business,2025,11,2025-11,12985.01,18680.37,45216.05,89910.10999999999,-0.30488475335338644,1,71
Business,2025,12,2025-12,14613.130000000001,12985.01,48027.32,92390.68000000001,0.12538457806347478,1,63
Cybersecurity,2025,1,2025-01,4731.12,0.0,0.0,0.0,0.0,0,59
Cybersecurity,2025,2,2025-02,3942.6,4731.12,4731.12,4731.12,-0.16666666666666666,1,61
Cybersecurity,2025,3,2025-03,3548.34,3942.6,8673.72,8673.72,-0.09999999999999994,1,62
Cybersecurity,2025,4,2025-04,5125.38,3548.34,12222.06,12222.06,0.4444444444444444,1,69
Cybersecurity,2025,5,2025-05,3942.6,5125.38,12616.32,17347.440000000002,-0.2307692307692308,1,67
Cybersecurity,2025,6,2025-06,5913.9,3942.6,12616.32,21290.04,0.49999999999999994,1,75
Cybersecurity,2025,7,2025-07,3548.34,5913.9,14981.88,27203.940000000002,-0.3999999999999999,1,72
Cybersecurity,2025,8,2025-08,6308.16,3548.34,13404.84,26021.160000000003,0.7777777777777777,1,80
Cybersecurity,2025,9,2025-09,5913.9,6308.16,15770.4,28386.72,-0.06250000000000004,1,73
Cybersecurity,2025,10,2025-10,1971.3,5913.9,15770.4,30752.28,-0.6666666666666666,1,60
Cybersecurity,2025,11,2025-11,8279.46,1971.3,14193.359999999999,27598.2,3.1999999999999997,1,74
Cybersecurity,2025,12,2025-12,5913.9,8279.46,16164.659999999998,31935.059999999998,-0.2857142857142857,1,67
Data Science,2025,1,2025-01,5552.67,0.0,0.0,0.0,0.0,0,75
Data Science,2025,2,2025-02,5969.92,5552.67,5552.67,5552.67,0.07514402980908284,1,69
Data Science,2025,3,2025-03,7103.99,5969.92,11522.59,11522.59,0.1899640196183533,1,82
Data Science,2025,4,2025-04,8184.59,7103.99,18626.58,18626.58,0.15211170060768672,1,80
Data Science,2025,5,2025-05,8837.2,8184.59,21258.5,26811.17,0.07973643151336848,1,85
Data Science,2025,6,2025-06,5520.450000000001,8837.2,24125.78,35648.37,-0.3753168424387815,1,73
Data Science,2025,7,2025-07,4878.58,5520.450000000001,22542.240000000005,41168.82,-0.11627131846135745,1,82
Data Science,2025,8,2025-08,5434.99,4878.58,19236.230000000003,40494.73,0.1140516297775172,1,67
Data Science,2025,9,2025-09,7991.959999999999,5434.99,15834.02,39959.799999999996,0.4704645270736468,1,85
Data Science,2025,10,2025-10,5124.68,7991.959999999999,18305.53,40847.77,-0.3587705644172392,1,64
Data Science,2025,11,2025-11,6012.65,5124.68,18551.629999999997,37787.86,0.1732732580375749,1,73
Data Science,2025,12,2025-12,6440.639999999999,6012.65,19129.29,34963.31,0.07118159214323132,1,81
Design,2025,1,2025-01,3040.07,0.0,0.0,0.0,0.0,0,49
Design,2025,2,2025-02,3869.18,3040.07,3040.07,3040.07,0.2727272727272726,1,61
Design,2025,3,2025-03,4421.92,3869.18,6909.25,6909.25,0.14285714285714293,1,64
Design,2025,4,2025-04,3592.81,4421.92,11331.17,11331.17,-0.18750000000000003,1,76
Design,2025,5,2025-05,4698.29,3592.81,11883.91,14923.98,0.3076923076923077,1,68
Design,2025,6,2025-06,3592.81,4698.29,12713.02,19622.27,-0.23529411764705882,1,82
Design,2025,7,2025-07,2210.96,3592.81,11883.91,23215.08,-0.3846153846153846,1,77
Design,2025,8,2025-08,4145.55,2210.96,10502.060000000001,22385.97,0.875,1,64
Design,2025,9,2025-09,2763.7,4145.55,9949.32,22662.34,-0.3333333333333334,1,70
Design,2025,10,2025-10,3592.81,2763.7,9120.21,21004.12,0.30000000000000004,1,66
Design,2025,11,2025-11,3869.18,3592.81,10502.06,21004.12,0.0769230769230769,1,72
Design,2025,12,2025-12,3316.44,3869.18,10225.689999999999,20175.01,-0.1428571428571428,1,78
Digital Marketing,2025,1,2025-01,5810.9,0.0,0.0,0.0,0.0,0,65
Digital Marketing,2025,2,2025-02,3295.18,5810.9,5810.9,5810.9,-0.43293121547436714,1,69
Digital Marketing,2025,3,2025-03,4816.96,3295.18,9106.08,9106.08,0.4618199916241299,1,78
Digital Marketing,2025,4,2025-04,5031.4400000000005,4816.96,13923.039999999999,13923.039999999999,0.04452600810469683,1,68
Digital Marketing,2025,5,2025-05,5243.83,5031.4400000000005,13143.58,18954.48,0.04221256737633747,1,62
Digital Marketing,2025,6,2025-06,7227.53,5243.83,15092.23,24198.309999999998,0.3782922024550757,1,84
Digital Marketing,2025,7,2025-07,5278.88,7227.53,17502.8,31425.84,-0.2696149306886308,1,57
Digital Marketing,2025,8,2025-08,3614.81,5278.88,17750.239999999998,30893.82,-0.31523164004485804,1,70
Digital Marketing,2025,9,2025-09,5031.4400000000005,3614.81,16121.22,31213.45,0.39189611625507303,1,69
Digital Marketing,2025,10,2025-10,3045.65,5031.4400000000005,13925.13,31427.93,-0.3946762755791583,1,52
Digital Marketing,2025,11,2025-11,5313.93,3045.65,11691.9,29442.14,0.7447605601431551,1,75
Digital Marketing,2025,12,2025-12,2550.77,5313.93,13391.02,29512.239999999998,-0.5199842677641595,1,59
Finance,2025,1,2025-01,1944.44,0.0,0.0,0.0,0.0,0,75
Finance,2025,2,2025-02,2032.26,1944.44,1944.44,1944.44,0.04516467466211348,1,65
Finance,2025,3,2025-03,2259.0200000000004,2032.26,3976.7,3976.7,0.11158021119344988,1,63
Finance,2025,4,2025-04,1706.3600000000001,2259.0200000000004,6235.72,6235.72,-0.24464590840275882,1,70
Finance,2025,5,2025-05,1986.9799999999998,1706.3600000000001,5997.640000000001,7942.08,0.16445533181743574,1,70
Finance,2025,6,2025-06,3642.2200000000003,1986.9799999999998,5952.360000000001,9929.06,0.833043110650334,1,79
Finance,2025,7,2025-07,2777.7200000000003,3642.2200000000003,7335.56,13571.28,-0.23735523938696726,1,82
Finance,2025,8,2025-08,2896.76,2777.7200000000003,8406.920000000002,14404.560000000001,0.0428552913900609,1,76
Finance,2025,9,2025-09,2324.2,2896.76,9316.7,15269.060000000001,-0.1976553114514148,1,74
Finance,2025,10,2025-10,2094.7,2324.2,7998.68,15334.24,-0.09874365373031581,1,72
Finance,2025,11,2025-11,2355.42,2094.7,7315.66,15722.580000000002,0.12446651071752532,1,67
Finance,2025,12,2025-12,2086.12,2355.42,6774.32,16091.02,-0.11433205118407765,1,71
Machine Learning,2025,1,2025-01,13.26,0.0,0.0,0.0,0.0,0,70
Machine Learning,2025,2,2025-02,7.800000000000001,13.26,13.26,13.26,-0.41176470588235287,1,56
Machine Learning,2025,3,2025-03,15.6,7.800000000000001,21.060000000000002,21.060000000000002,0.9999999999999998,1,62
Machine Learning,2025,4,2025-04,12.48,15.6,36.66,36.66,-0.19999999999999996,1,68
Machine Learning,2025,5,2025-05,11.7,12.48,35.88,49.14,-0.06250000000000008,1,74
Machine Learning,2025,6,2025-06,12.48,11.7,39.78,60.84,0.06666666666666676,1,75
Machine Learning,2025,7,2025-07,12.48,12.48,36.66,73.32,0.0,1,64
Machine Learning,2025,8,2025-08,11.7,12.48,36.66,72.54,-0.06250000000000008,1,80
Machine Learning,2025,9,2025-09,12.48,11.7,36.66,76.44,0.06666666666666676,1,87
Machine Learning,2025,10,2025-10,7.800000000000001,12.48,36.66,73.32,-0.37499999999999994,1,58
Machine Learning,2025,11,2025-11,7.0200000000000005,7.800000000000001,31.98,68.64,-0.10000000000000002,1,60
Machine Learning,2025,12,2025-12,8.58,7.0200000000000005,27.3,63.96,0.22222222222222215,1,65
Marketing,2025,1,2025-01,0.0,0.0,0.0,0.0,0.0,0,68
Marketing,2025,2,2025-02,0.0,0.0,0.0,0.0,0.0,1,59
Marketing,2025,3,2025-03,0.0,0.0,0.0,0.0,0.0,1,60
Marketing,2025,4,2025-04,0.0,0.0,0.0,0.0,0.0,1,58
Marketing,2025,5,2025-05,0.0,0.0,0.0,0.0,0.0,1,60
Marketing,2025,6,2025-06,0.0,0.0,0.0,0.0,0.0,1,84
Marketing,2025,7,2025-07,0.0,0.0,0.0,0.0,0.0,1,60
Marketing,2025,8,2025-08,0.0,0.0,0.0,0.0,0.0,1,76
Marketing,2025,9,2025-09,0.0,0.0,0.0,0.0,0.0,1,74
Marketing,2025,10,2025-10,0.0,0.0,0.0,0.0,0.0,1,66
Marketing,2025,11,2025-11,0.0,0.0,0.0,0.0,0.0,1,81
Marketing,2025,12,2025-12,0.0,0.0,0.0,0.0,0.0,1,60
Programming,2025,1,2025-01,8501.039999999999,0.0,0.0,0.0,0.0,0,72
Programming,2025,2,2025-02,5195.08,8501.039999999999,8501.039999999999,8501.039999999999,-0.38888888888888884,1,58
Programming,2025,3,2025-03,3778.24,5195.08,13696.119999999999,13696.119999999999,-0.27272727272727276,1,63
Programming,2025,4,2025-04,6611.92,3778.24,17474.36,17474.36,0.7500000000000001,1,65
Programming,2025,5,2025-05,8028.759999999999,6611.92,15585.24,24086.28,0.21428571428571416,1,76
Programming,2025,6,2025-06,5195.08,8028.759999999999,18418.92,32115.039999999997,-0.3529411764705882,1,66
Programming,2025,7,2025-07,5667.36,5195.08,19835.76,37310.119999999995,0.09090909090909086,1,73
Programming,2025,8,2025-08,5667.36,5667.36,18891.199999999997,34476.439999999995,0.0,1,65
Programming,2025,9,2025-09,10862.44,5667.36,16529.8,34948.72,0.9166666666666669,1,71
Programming,2025,10,2025-10,6139.639999999999,10862.44,22197.16,42032.92,-0.4347826086956523,1,63
Programming,2025,11,2025-11,6139.639999999999,6139.639999999999,22669.440000000002,41560.64,0.0,1,73
Programming,2025,12,2025-12,5667.36,6139.639999999999,23141.72,39671.520000000004,-0.07692307692307689,1,61
Project Management,2025,1,2025-01,13141.95,0.0,0.0,0.0,0.0,0,69
Project Management,2025,2,2025-02,9491.98,13141.95,13141.95,13141.95,-0.27773427839856346,1,63
Project Management,2025,3,2025-03,16565.19,9491.98,22633.93,22633.93,0.7451775077486467,1,74
Project Management,2025,4,2025-04,14278.0,16565.19,39199.119999999995,39199.119999999995,-0.13807206557848106,1,72
Project Management,2025,5,2025-05,13899.73,14278.0,40335.17,53477.119999999995,-0.026493206331418998,1,73
Project Management,2025,6,2025-06,14535.210000000001,13899.73,44742.92,67376.85,0.04571887367596359,1,66
Project Management,2025,7,2025-07,12514.67,14535.210000000001,42712.94,81912.06,-0.13901003150281288,1,63
Project Management,2025,8,2025-08,15645.580000000002,12514.67,40949.61,81284.78,0.2501791897029647,1,74
Project Management,2025,9,2025-09,14674.45,15645.580000000002,42695.46000000001,87438.37999999999,-0.0620705656166151,1,67
Project Management,2025,10,2025-10,13208.09,14674.45,42834.700000000004,85547.64000000001,-0.09992606196484369,1,65
Project Management,2025,11,2025-11,16582.129999999997,13208.09,43528.12,84477.73000000001,0.25545252947246705,1,77
Project Management,2025,12,2025-12,14566.23,16582.129999999997,44464.67,87160.12999999999,-0.1215706305522872,1,66
Web Development,2025,1,2025-01,1181.38,0.0,0.0,0.0,0.0,0,69
Web Development,2025,2,2025-02,1141.5500000000002,1181.38,1181.38,1181.38,-0.03371480810577454,1,63
Web Development,2025,3,2025-03,1769.1599999999999,1141.5500000000002,2322.9300000000003,2322.9300000000003,0.5497875695326526,1,84
Web Development,2025,4,2025-04,1219.27,1769.1599999999999,4092.09,4092.09,-0.3108198240973117,1,67
Web Development,2025,5,2025-05,1428.15,1219.27,4129.98,5311.360000000001,0.17131562328278405,1,72
Web Development,2025,6,2025-06,1753.61,1428.15,4416.58,6739.51,0.22788922732205985,1,74
Web Development,2025,7,2025-07,1103.66,1753.61,4401.03,8493.12,-0.3706354320515963,1,59
Web Development,2025,8,2025-08,1332.94,1103.66,4285.42,8415.4,0.20774513890147325,1,76
Web Development,2025,9,2025-09,1524.33,1332.94,4190.21,8606.79,0.14358485753297212,1,74
Web Development,2025,10,2025-10,1161.95,1524.33,3960.9300000000003,8361.96,-0.23773067511628052,1,62
Web Development,2025,11,2025-11,1313.51,1161.95,4019.2200000000003,8304.64,0.1304359051594302,1,67
Web Development,2025,12,2025-12,1752.64,1313.51,3999.79,8190.0,0.33431797245548195,1,77
